,hate_speech,clean_tweet
15743,0,RT JamesBlunt Me Me Pick me RT blackeyelined Who is a bigger twat James Blunt or Robin Thicke
21144,0,Stay warm  beanies sweaterweather bootyever httptcozPTCkqybAM
16525,1,"RT MrNBAallday Kobe calls Dwight Howard a bitch ass nigga 

httpstcolEkKWD"
5682,1,calissstaaa cause you are a damn border bunny you forget already
14661,0,RT CheefPolo bitches love coming out in public naked ESPNDaniel Do not do this basedlightskin  httptcoWgDmNdV
1391,0,LoveLifeEst lmao West amp Aero sound young af talking bout hoes n weed n shit FinesseiAm brah you gotta listen to this shit
17329,0,RT SirStrange Sorry that I came into your pussy like a wrecking ball
6,0,BrighterDays I can not just sit up and HATE on another bitch  I got too much shit going on
16622,0,RT NerdAtCoolTable Any chick that gets In a fight after the age  is a hoe
23697,0,but shawty you not a bitch you the one I get money wid
17544,0,RT TacoRell This show should be called side bitches I ai not seen love YET
4655,0,SchulzGrayson Dswizzle if your going to talk shit at least back it up and fight bitch ass nigga i swear u niggas from are fake pussy boy
22235,0,Too fast for the Feds too cocky for the cops Had to ditch my old bitch gettin sloppy wit the pots
14381,0,RT BigSean Suck my dick bitch RT MaizeNBlue bigsean not only are you terrible You are why hip hop is dead
7257,2,vinnyvicious faggot I knew you were not really my friend
23683,0,boats n hoes 
17967,0,RT VadeFisse dont try too fuck with me amp got a million and TWO bitches because I will tell them all I PROMISE I WILL
15511,0,RT HollywoodLavish I want a real relationship  no games no lies no side hoes just me and you 
13865,0,Please dnt take no pictures please dnt take no pictures especially with my jewelry on man these hoes so vicious
21949,0,This bitch come home wit a attitude Bitch go yo ass Bacc to work ah sum fucc
3095,0,EaTMyTweetZz LilButtSHAR that bitch hit the chick when she will not looking That shit weak af
8912,0,Early bird catches the worm 
15650,0,RT IndiaMone LOL RT JoeBudden Wait a minute Im seeing mad dope costumes Yall stop trying to steal Halloween back from the hoes 
23125,0,Yeah I can just tell by the weather that I will not be gettin any pussy today
24608,1,trash both ways lol RT AgdaCoroner Bitch Killed HerselfLook Like Bill Maher With Makeup on httptcoIWLAGJSl
15085,0,RT EJRealTalk SirRayCharles Mo Claiborne is so trashI can not say it enough fam 
7011,0,serenity I assume so the tranny went out this morning I have a maxima
2388,0,AlanCasillas haha shit niggah i wish
11949,0,It is hot and my allergies are killing  I feel like a little bitch 
4159,0,MorganSelae YoungMoneyKem MattyKem I got tits as big as a hoe so it evens out
9692,0,Hating on me Then bitch what is good
5266,0,Zhugstubble meet up eat bitch
10290,0,I feel like that niggah Pac these bitches set me up
19861,0,RT prettykells Leelucas  prettykells lol bitch run ya bands up You know I am dumbI hate a broke bitch I hate em
7628,0,All these afternoon groups are trash besides the Bubba Keegs and Furyk group TheMemorialTournament
22422,0,Video On The Record Charlie Baker httptcolXKYyCVR
11532,0,If a teacher gave me some pussy in elementary school I got to tell somebody
30,0, i txt my old bitch my new bitch pussy wetter 
23289,0,You could fuck my bitch  lemme fuck yo bitch  
17048,0,RT RayIopez When you are approaching your high score in flappy bird and die one pipe away httptcobIRQAur
21680,0,There is a trash bag in my hall thats been there for like  wks Weird thing it changes consistency every few days
2881,0,ColeyCee did not I just say I thought u told me to delete them so I deleted them bitch
23595,0,bad bitch
14536,0,RT BudaHound Been popping all my life what is fame  me bitches been stalking all my life bitches ai not a thang  me
7661,0,All you ladies pop your pussy like this
13560,0,Oh and I am back bitch No one walks all over me ever again Ever
17849,0,RT TrillSteez sincerelylivy i can not fw no friendly bitch
9834,0,Hit me up with plans nigs
23138,0,Yeah that is where you are supposed to put the trash can rude httptcomolWFpy
14554,0,RT CHlLDHOODRUINER  rts and he will spark this hoe in here httptcoBFAMgWPo
804,0,Yankees
13672,0,Only for one reason cause a bitch wont go gay  If your name nt smurf  I see noone
10081,0,I bet u John Elway gets way more pussy than John Dorsey
22159,3,This white bitch had the fuckin nerve to call me a nigga when shes the one payin for her lips to get bigga
5074,1,UltraGoogle what is a puto is not that bitch in Spanish
9117,1,First key club trash pick up with the freshman tbt httptcorpLXlaylOJ
23461,1,You are a stupid hoe
12675,0,Love my bitches CheralynVB mckinley LaurieMcKinley
18738,0,"RT chanelpuke me goodnight moon 

moon goodnight lil bitch"
23552,0,all i wanted was a hundred million dollars and a bad bitch
3550,2,JGardenofEden KySportsRadio ryanlemond Butcountry music listeners really are hicks and alcoholics 
15947,0,RT KallMeKenzo A fufu bitch can not do nun for me but break my heart or set me up 
11976,2,It is so shady when you bitches talk to guys w girlfriends that is so disrespectful to do to another girl
2042,0, I ai not trippen off you no mo  I done dropped you  Knocked owe  I could Neva be a foo for a hoe  I put httptcoGAIElrPDIK
13860,0,Playing games and wrestling are the only ways I bind with my brothers That and the sex talk amp providing condoms No raw dogging these hoes
5078,0,UptownRaised Shame that your mama did not teach you not to call women bitch Well we all ai not that fortunate I guess
1863,0,nhalegood When hoes feel like their photo didnt get enough favorites httptcoZDfBpF
12033,0,James is the biggest bitch in basketball i swear fuckin cramps seriously
15568,0,"RT IKeepitRealer ChrisBrown a bitch  hittin a Woman
JayZ a bitch  lettin a woman hit him
bitches needa make up ya mind 
Yah want yah a"
22961,0,Woke up the next morning like why in THEE FUCK did i donate my cheese to these skank hoes 
10829,0,I really can not stand while people slander shit  trash
6686,0,mikeceeno they say I got too many bitch  I swear I ai not got the right ones
22000,0,This bitch said  which one are you  Lmaooo I hate her 
23117,0,Yea buddy RT YallJustDontKno A lot of NBA trash talk going on
5039,0,TrippinC nuteIla  that hoe is like 
15748,0,RT Jamilaahhh These hoes be twerkin for Birkin poppin coochie for Gucci bustin wide for that Prada Bendin over for Louis
10733,0,I love when girls pass up the guys who want Something real and to treat them right for the guy who just uses em cuz then they bitch about it
6731,0,mrfoolycooly im still where that giant muk shit eats that candy with ceasar clown
21037,2,Some niggas save hoes
12078,0,Joe ripping on a Nobel prize winner while hes not their What a little bitch morningjoe
18168,0,RT Yansii This bitch don went super saiyan  at walmart httptcoxkFtoVcK
4795,0,StunningVisual yes hoe You ALWAYS had the camera
11239,0,I am beginning to thincc my brother is defiantly into fat Mexican bitches Eugh 
10245,1,I do not want a bitch that a nigga already had I want sumn new  Or a runner it is too easy nigga I accept the challenge
23186,0,Yo bitch she boof she got that throwbac pussy 
8798,0,Do not get a mf attitude bitch I am not about to justify shit
10893,0,I smoke a lot of weed to keep them bitches of ma mind
23801,0,every time i say i do not like someone boxer rapper etc everyone bitches their fucking heads off as if it changes my opinion relax no
10171,0,I did anything for my bitch now these hoes only get hard dick nbs
2860,0,CiscoAllDay why she a hoe we know about  dudes that hit Kim  these hoes out here doing that in a week
15872,1,RT JuanNDaCut Explaining to a girl how u do not have hoes httptcoeYlmciW
2175,0,and I am goin back to school only for the hoes and a class or two
23919,0,hi i am neither dumb nor a bitch im pretty smart and am one of the most genuinely nice people i have ever met
22864,0,Why do bitches put fuck a bio in they bio technically u still wrote a bio
24766,0,you just want some attention hoe
24094,0,is it ghetto to grease yo scalp at work
15612,0,RT ImDikeTurner BJ What yall up to  beatin my meat on FaceTime wit a bad bitch httptcoDwdgDNWxw
2622,0,BlackberryTroll Blah If people are determined to think of you as a condescending bitch it is their loss
19437,0,RT kidnipsey bitch what you thought  
15912,0,RT KINGSHAMUGGA My bitch better lie to me more than  bodies and I cant stomach it ill fucking die
16794,0,RT OhSnapsItsShaq I feel like no matter how much of a hoe she is if the right nigga put her in her place she gone change 
9151,1,For a faggot ass nigga that crys about people who talk about kicks he certainly makes a lot of fucking shoe comments That is yall man smfh
9846,0,Hoes always blaming hoes for being hoes
17892,0,"RT TycoTatts hits blunt

bruh if she tells me to go text my other hoes but she is one of my hoes do I keep texting her  httptco"
7386,0,zachsmith kiefferjason NathannDevlin bitch fight me so I can make you shut up am going to back my shit up
13822,0,Photo Giving you that trailer park trash transformthursday ladykimora vegasqueens vegasshowgirls httptcoLjejFufULK
1902,0,sorryimalex I am only back cause I do not wanna see the boys lose to trash votesos
19966,0,RT sangelinaxo what is with guys and fat bitches I will clearly never understand
9856,0,Hoes gon always be hoes or have they hoe ways at least
18092,0,RT WorkaholicBlake How girls become friends Omg I love your shoes How guys become friends Excuse me sirI see u fuck bitches I 
8581,1,Cuz its  how im killin these hoes
20282,0,"RT versaceezy side hoe lets make us official 

me httpstcoKfqyouFgo"
14540,0,RT BullHunitProof bruh said Black girls pussy taste like attitudes and arguments LOL
11187,0,I am  you bitch
11432,0,I ama be even pretty  julisa work magic on bitches  Lol i keep stalking her IG to see how perfect I want my braids Its hard to pick
13058,0,My lil bitch just called me said she needa break But you can leave Cuz bitch I am doin GREAT
20999,0,So bronyfolk far and wide are throwing bitch fits over EquestriaGirls I must be the only one who is not It looks interesting to me
6452,0,kiefferjason ha bitch who angry bitch am taller and older then your fake ass boy stfu your making yourself look like a dumbass pussy boyy
23212,0,You a bitch
3860,4,KuntaKayne I have never seen such ignorant illiterate pieces of shit in my life Bring in Natl Guard amp disperse this trash bassemmasri
1325,0,JTLord Boutta walk out on these hoes
11749,1,Im rick james bitch show me ya titties
8105,3,Black bitches do not be kickin up in our school Bitches still comin wit durags still on they head nd shit
7930,0,Bad lil bitch ai not never seen her
15246,0,RT FriendlyAsshle How bitches be when soccer players take their shirt off httptcoXaLMdxrA
10496,0,I hate when bitches say bro and bruh
9206,5,"From now on I will call all radical MUSLIMS niggers
It is very fitting and it is racist 
I AM RACIST AGAINST ANYONE WHO HATES AMERICA"
15174,1,RT FeelinMarvelous Niggas want a virgin porn star and bitches want a dangerous safe nigga
4227,0,"NYRKelsMads 
I gots to be bein colored and all"
12898,0,Monopoly is fucking stupid fuck that dumb ass game bitch ass shit
3274,1,GlynJackson RachhBasss granted cracker is not that bad because when you say that to a white person your saying their one of the slave
21011,1,Sold weed to a bitch who is gonna be a lawyer Bet she will have a niggas back
150,0,JamesyNBA I wish I was a bitch like my brother keezy  ooooow I bet you do
20241,0,RT trynabefamous Like when you are a hoe how do u sleep at night
7066,1,sorryimalex wake up you little bitch and follow me
6539,1,laceeybugg atleast i dont have dick breath you twat licker
10279,0,I feel bad for her nicca tho  Ya girl a hoe my nicca
8583,0,Cuz they dont wanna b saved RT Gladvillian Why is saving hoes bad
15386,1,"RT GuapoAficionado Kill em all at once I say

RT PacDaGoat The world will be a better place when bitches like her dies lonely http"
5460,0,abbeykuck I just whooped your ass why you turnin pussy
21143,0,Stay pooned bitches
5258,0,ZaneIsClasker garrettwinker no I like pussy why would I be ashamed of that
17339,0,RT SlimGirlProbz TRESHONSCROOGE Oomf pregnant from dat dog in the hood dat chase erbody REAL funny bitch
5832,2,delaneyguinan you did a good job doing that to me and not texting back faggot
2873,1,ColeMcDowell someone sent this to me months ago bitch
2812,0,CenaSux You TheBrianMo brought it up first with the allusion that she is a hoe chelseaelisa RobertBarber
13565,0,Ohh my gawdd i woke up so throwed dis nicca paper slept n my damn car n he threw up n my Shit n i lost my phone smh GM
10833,2,I really get upset when my lightskin friends have another cute dark skin sidekicklike Im supposed to be the only cute darkie u hang wit 
23588,0,ask for my number he a lame I am like cuh mobbin with my bitches turn down for what
14314,0,RT BasedDizenn line my shit up with god cards bitch httptcolQXIUqJmR
17818,0,RT Toucherandrich Wow he did not just call them bitches from what I could see it looked like Brady told the crowd Fck you bitches 
4182,2,MrMooncricket RacistNegro fuck you stupid ass coward ass punk bitch faggot ass racist piece of shit Punk Bitch ai not worth my time
21603,0,The price is wrong bitch
1003,1,RT KfromtheG Mexican bitches shaped like silly puddy
14924,0,RT DanHarrison  RT CecilHurt Charlie Strong got down to the man roster nearly as quickly as Texans did
2648,0,Bombfantasyyy pearl jam yellow Ledbettergt
15364,0,RT GoonsTXT Also just because you suck dick does not mean you have to act like a faggot
3331,0,HAUNTINGILINSKY sorryimalex you actually think he will do that lil bitch can not punch a potato
9168,0,Forreal forreal I would let the founder of Capcom fuck my bitch They made Street Fighter AND Marvel vs Capcom EternallyGrateful
19422,0,RT kenohtoopretty i do not want no thot  a thot is a girl that can not get nofrom me hanging with the other little hoes wearing her be
11926,0,It is a matter of pure weight ratios A five ounce bird can not carry a one pound coconut
3343,0,HanSolosSon bruh really rocking a toaster on his face lmaoooo he prolly got  bitches too man
3622,0,JawShoeeAhhh keepitplur bitch you beat after losing twice lol and we won  you just a hater
22783,0,Where would me life be without God and levimitchellseriously I would probably be living In a trash can haha
3041,0,DizzyBala God awful and that dude is Dorian  eggplant black
16359,1,RT MainetheCK I sell dope I fuck hoes and make songs bout the shit I rob niggas for they work and dont feel wrong bout the shit
16094,0,RT KyleKallgren You know how in superhero stories the best insult for superheroes dumb mooks can come up with is dogooder whiteknight
12721,0,Man I rather see the morning selfies of bitches who dont change they look with the case of the Mondays then see the jaybey poster Ijs
22026,0,This class ghetto as hell
17369,0,RT SomeoneBelow The person below is a cunt
10843,0,I really want a girl to make me some brownies 
17362,0,RT SochittaSal I got drugs and hugs for you bitch
9797,2,Hey RSherman you are a nigger racismisaliveandwellbro  learn from other blacks in the league on how to conduct yourself
22840,0,Whos pussy is it she said richie is
15334,0,RT GeeZzzus Do not no woman want a man that acts like a bitch
10698,0,I love Liv when she gets ghetto
28,0, i need a trippy bitch who fuck on Hennessy 
765,0,Royals  Fantastic Ready for tomorrow is sweep of the disposed O is Yankees ever except this month
14802,0,RT CrownHer Takes a ho bath RT stZodiacSign He is terrified of water How TF does he wash himself everyday lol
3642,1,JennaHord Feels like it is been a year since I seen ya queer lolol
21925,0,This ai not no bitch ass boom bap it is click clack move back
21086,0,Sometimes a bitch needs to struggle to get where she going RT odotkay viaNAWF sometimes Some shit just an extra 
13793,0,People love to touch my hair ooo is this real Yes bitch is yours
2293,0,TakesTheLead no bitch I had to use my whipers
17709,1,RT TheRainbowGirlz I am not saying she is a slut but her favorite shade of lipstick is pussy
15737,1,RT JakeGBasedGod Never go full retard
16664,0,"RT NoBeeetch comes home late

Bae Was her pussy good

Me Whos 

Bae oh never mind httptcoiEcbdqzoW"
17811,0,RT TooTurntNacho Why give a bitch ya heart when she rather have a purse
8147,0,Bout to get a breasts reduction these bitches be in the way
1726,0,coffincreepxx Jose is so fucking mean to me like damn bitch lol fuck you
22566,0,Well now that I am basically gone full retard lets get blasted
6179,1,iowahawkblog I also recommend pack of shiner Bock and  hours of brisket duty at the pit feeding oak coals 
12175,0,Just wait The day i get off probation You know this bitch is gonna be on the moon and im not gonna come back to Earth for a while
20246,0,RT tupactopus bad bitches get in free night at weenie hut jrs
9593,0,Guys say bros before hoes I say food before dudes
23019,0,Yall be giving the pooest bitches so much hype stop it
1496,0,RudeNation When girls take my snap backs and beanies lol that is  dollars a hat and  for the AX beanieS I do not let them take it
15479,0,"RT HiSlick bitch you better play w this 

d
 i
i
 i
i
 i
i
 i
i
 i
i
c
k"
11953,0,"It is lame that you can buy clothes that look like real military clothing
If you wear it I will make fun of you
You are a  star bitch"
14401,0,RT BitchesLuvCake Real niggas let a real bitch cum first 
11055,1,I was in the club and there was this good lookin bitch she had gold teeth tho I was confused smh
6258,0,jessitron Bsilverstrim in fact were I to start a forprofit university this would be the sole requirement for graduation
7508,0,After the leg workout I was put through today walking up the stairs is a straight up bitch ouch
14812,0,RT CuhCuhCuh bitches is twerkin on camera while they kid watchin sponge bob cuh
5053,0,TryHardAlby looks like you are gonna blow someone fag
21318,0,Terrifying leprechaun httptcowgkSVVG
21665,0,Then again bitches are expensive and I am on a budget boo I can not afford all that shit you bitches be wanting
2710,1,Bullskickass I have decided that BullsNation are retarded love
16124,0,RT LVLKYEvents Nov  Thanksgiving Dinner pm Proof on Main A day being preoccupied with a giant bird in your http 
2125,0, when it comes to pussy I have no fucking friends  hostel iii is really what we are watching right now
3635,2,Jaytwofly huh lol mad nigger is mad
7106,0,sweetlou Lol Have fun  I have not been to a race since HS Charlotte Crazy redneck times Lol
4870,0,Teets shit trash
17127,1,RT Rockprincess Obama is Allowing millions of illegal aliens drug cartels and terrorists to enter our open bordersLiberal retards
4475,0,RJdiggins get some sleep pussy
11033,0,I want to be as independent as soon as i can I do not like depending on people Makes me feel like a bitch
22535,0,We so deep in this bitch we might drown
9927,0,How many times you hoes look at my picture a day 
16777,1,RT OfficiallyIce Lemme make sure I got this right As good as the pussy is I am supposed to pull OUT when I bust Nigga please
12748,0,Man who da fuck let this hoe in the background looking like a got damn Zebra BETAwards
6051,0,grrizzIy right in the fucking pussy
23804,0,everybody fuckin everybody bitch everybody wit the shits thats lifee
23791,0,eli manning looks like a idiot when he is talking to the guys on the sideline with his hands up  like retarded af
11975,0,It is so scary hoe Annabella does everything I do  she acts just like me 
1802,1,jcash FreeMolly VoiceOfDStreetz  bitch I was fukkin wicha but fuck you nigga square up and I am fucking with you 
9862,2,Hoes thnk they won when the nigga thats ridin the fence start givin them a lil attention what u won hoe A wishywashy ass nigga Oh
10016,0,I always wanted a bull dog them hoes clean fuck a pit
358,0,leikant This is so fucking hot scally sneakersex sockfetish sniff trainersex httptcoTubivxbxcO love me some kinky scallies
15817,0,RT JimmyCollinsss WesOrrJames all love my nig
20500,0,Really craving my arroz con pollo y habichuelas right now
19290,0,RT itscoleharmon so to all those girls who are curled up in a ball in their bed waiting for that goodnight text go to sleep bitch he 
8854,0,Dress shirt saggy jeans backwards Yankee hat now that is lifting swag
21190,0,Study by Center for Biological Diversity called taxpayer funded Ivanpah a megatrapwill kill  birds year httptcoxPXEhneE
10951,0,I thincc I am a pretty average bitch ya know 
6643,1,mattyfatty fuck you bitch where is my sleeve
3077,0,DrunkAtChurch MzYummyDread Slide up on a bad bitchDat bitch look good
15408,0,RT HBCUfessions My body count went from  to  in one semester I am not a hoe just love sex FAMU
16592,0,RT NOGOODNIGGER Stop gassing up these regular ass bitches
7063,0,solopo yall got the Taxis right now And can I get the Oreo  is right now if possible
1694,2,alicia You aint special niglet RT Vicefly When I am chilling wit Greg ppl walk up to me to ask me to take picshatin
8591,0,DRUGSgt Is why Giants are losing Just ask barrybonds and the HEDGE BET FUNDgt WorldSeriesGame faggots
3595,0,JadeGreenleaf DailySexSupply am i really a fag if I am liking that video
23435,0,You tried me hoe I can sinf
22721,0,When niggas gimme their mixtape and it is trash YEET Fatality httpstcoidrCdIvN
14109,0,RT AdamSchein Great job by the Yankees giving Brian Cashman a new contract The haters are just wrong CC ChrisCarlinSNY
9684,2,Hate this dyke
6173,0,intheKCmix Pau pissed me off like Boozer pissed off Bulls fan  soft faggots
22196,0,Tiny out here looking like an albino red nose pitbull from a dope boy is trap house
5844,0,derekgatewood I got a kenwood amp to but it is probably ghetto right
4519,2,RepulsiveTool And the only band that sucked worse live is those fags Guns amp Poses
3801,2,KenGTH nahh  whatever you are spook or spic I still do not like you  Good day
16872,0,RT ParkerHouk If I could be anywhere on earth right now you know it would be Yankees Stadium
5354,0,TajMahal ElPadrino AbellaXXX I am lmao fa real cuz I really saw her throw dat bitch in a circle lol
13596,0,Omfg this tattoo hurts like a bitch Painful
15296,0,RT FunnyPicsDepot this the I play soccer cheat on girls and wear khaki coloured cargos haircut httptcorJVOVoOl
11876,0,It ai not nothin to cut that bitch off
2572,0,BeeKayNS alas I am proficient in neither my skills are limited to pointless stat memorization  trash talk
10362,0,I got good credit So my bitch credit gotta match mine
8055,2,Bitch you are the ugliest cunt ever
2640,0,BobbyBotsods FuckTheMallcops UncleUnco MrMooncricket fuck off bitch
23781,0,dope in the bag pretty bitch on the side
23681,1,bitches
13642,0,One of my favorite songs There is a man on the shoreline with a white parakeet trying to make his bird go home httptcobQCBIPks
15086,1,RT EMAdair Illegals bringing diseases across border Contagious patients separated from others by yellow tape pregnant teens http
11280,0,I am going thru it my bitch ai not even my bitch she let the whole team hit
22155,0,This was my Chit shake that monkey beeotch httptcoOOmruoobI
7607,0,All that but the bitch can not take a joke itszprincessz IGGYAZALEA
23378,0,You mean these hoes RT KingHorseDick Russ never gonna be happy bruh
3759,2,KamRenee ugly nigger
17822,0,RT Trzz How bout some of you bitches be women for Halloween
2222,0, and  World Series Rematch Yankees Braves
20776,0,She is aint being a bitch she is just tired of your bullshit Her attitude towards you is based upon how you treat her
7753,1,And rememberalways be the person you are born to be You do not have to be queer to take something from that message NationalComingOutDay
2847,1,ChrisMcDowell pussy ass nigga
9315,0,Fuck your dreads fire it up hoe rt while we watch This Is The End
21576,0,The last time your pussy was salmon pink was 
7102,0,survivedby rootsarecertain I figured I was just shocked out hoe old that tweet was lol
14692,0,RT ChrisJustJoking You gotta fuck ugly bitches from  towns over that you will never see again so you can work the kinks out of your sex ga
3039,0,DizzyBala JamesWinfield hey now do not diss my basketball hoe
23936,0,hollywood if you really want to break my heart make a movie about a handsome retarded man who is good at flash and has a mean girlfriend
4640,1,SandraGuzman nigger
16869,0,RT PapiChulo The fact that all yall hoes gettin pregnant wit no ring on ya finger 
8284,2,California is home to skater trash
5098,0,VinceSchilling Vince what is the general feeling of the natives that you know in regards to the term redskins Offensive to them or not
23163,0,Yes I am a hairy white man with redneck tendencies who absolutely loves Aretha Franklin Fuck you hater
18296,0,RT JocelynB Yu hoes just love to pump fake bout yall lives on these social networks
7447,1,A lot of you niggas turned these bitches into sketch ass bitches
6878,2,quilzel That is how rednecks eRecycle httptcoLRXIqSiB
13676,1,Only hoes cheat
24027,0,i am also looking to hire full time bitches
22055,0,This hoe in here months pregnant man take yo ass home
23327,0,You have no friends BC nobody wants to be guilty by association hoe
9771,0,Helga was a bitch And for what reason HeyArnold
2343,0,AARONCARTER push me on the wall slowly take my panties down and write alphabet with ur tongue on my tight pussy
22489,1,"Watch the blacks and whiggers cry

httptcoEmluwbbOgW"
3792,0,KenSuttling Certainlt not the paddies
3988,0,MIKEBINTHED you do not want to battle you shook cause ai not no such things as half way crooks bitch
1147,1,"BlueEyeBeaner lesbian pussy taste like rainbow trout

lezzzbehonest"
4669,0,SeauxCocoa you getting new pussy and not sharing
10293,0,I feel sorry fo niggas dat gtta make up shit to lie about I would hate to have to think that fuckin muchbitch
16272,1,RT LouieVRee Dyke bitches walk around proud with their pregnant girlfriend like they got her pregnant
20400,0,RT yendys And xDSmooth fell in love with pussy he never even got
